ticker,manager_count,managers,total_shares,total_value,avg_portfolio_pct,max_portfolio_pct,portfolio_pct_std,earliest_report_date,latest_report_date
PYPL,9,"Longleaf Partners, Maverick Capital, Chou Associates, Wedgewood Partners, Dorsey Asset Management, Lindsell Train, Polen Capital Management, Sound Shore, Matrix Asset Advisors",7506207,493302000.0,0.0,0,0.0,2025-07-07,2025-07-07
KMX,9,"Ariel Appreciation Fund, Maverick Capital, Makaira Partners, Akre Capital Management, Giverny Capital, Markel Group, Weitz Large Cap Equity Fund, FPA Crescent Fund, Hillman Value Fund",4572381,356524000.0,0.0,0,0.0,2025-07-07,2025-07-07
SPGI,8,"Brave Warrior Advisors, Valley Forge Capital Management, Wedgewood Partners, TCI Fund Management, Lindsell Train, Cantillon Capital Management, Markel Group, Olstein Capital Management",14125613,7177355000.0,0.0,0,0.0,2025-07-07,2025-07-07
CVS,8,"Fairfax Financial Holdings, Patient Capital Management, Davis Advisors, Matrix Asset Advisors, Hancock Classic Value, Dodge & Cox, Olstein Capital Management, Hillman Value Fund",64518025,4370996000.0,0.0,0,0.0,2025-07-07,2025-07-07
ICE,8,"Oakmark Select Fund, Sequoia Fund, Third Point, Viking Global Investors, AKO Capital, Cantillon Capital Management, Egerton Capital, Markel Group",14064297,2426092000.0,0.0,0,0.0,2025-07-07,2025-07-07
TMO,8,"Lindsell Train, AKO Capital, Polen Capital Management, Cantillon Capital Management, Torray Funds, Markel Group, Weitz Large Cap Equity Fund, Matrix Asset Advisors",4202005,2090918000.0,0.0,0,0.0,2025-07-07,2025-07-07
CRM,8,"Lone Pine Capital, ValueAct Capital, AKO Capital, Polen Capital Management, First Eagle Investment Management, Weitz Large Cap Equity Fund, Mairs & Power Growth Fund, Hillman Value Fund",7600371,2040028000.0,0.0,0,0.0,2025-07-07,2025-07-07
TXN,8,"Fundsmith, First Eagle Investment Management, Davis Advisors, Jensen Investment Management, Torray Funds, Markel Group, Matrix Asset Advisors, Olstein Capital Management",10904374,1959515000.0,0.0,0,0.0,2025-07-07,2025-07-07
ADI,8,"Causeway Capital Management, AKO Capital, Giverny Capital, First Eagle Investment Management, Cantillon Capital Management, Markel Group, Weitz Large Cap Equity Fund, FPA Crescent Fund",9593542,1934729000.0,0.0,0,0.0,2025-07-07,2025-07-07
C,8,"Chou Associates, Kahn Brothers Group, Causeway Capital Management, Patient Capital Management, Sound Shore, Hancock Classic Value, FPA Crescent Fund, Greenhaven Associates",25845433,1834768000.0,0.0,0,0.0,2025-07-07,2025-07-07
SBUX,8,"Lone Pine Capital, Maverick Capital, Semper Augustus, Giverny Capital, Polen Capital Management, Jensen Investment Management, Markel Group, Matrix Asset Advisors",13525892,1326755000.0,0.0,0,0.0,2025-07-07,2025-07-07
DHR,8,"Maverick Capital, Bill & Melinda Gates Foundation Trust, Viking Global Investors, Dorsey Asset Management, Akre Capital Management, Torray Funds, Weitz Large Cap Equity Fund, Matrix Asset Advisors",4263539,874026000.0,0.0,0,0.0,2025-07-07,2025-07-07
BMY,8,"Kahn Brothers Group, Miller Value Partners, Jensen Investment Management, Sound Shore, Matrix Asset Advisors, Hancock Classic Value, Dodge & Cox, Hillman Value Fund",11977566,730417000.0,0.0,0,0.0,2025-07-07,2025-07-07
OXY,7,"Himalaya Capital Management, H&H International Investment, Fairholme Capital, Berkshire Hathaway, Chou Associates, Fairfax Financial Holdings, Dodge & Cox",341073689,16835637000.0,0.0,0,0.0,2025-07-07,2025-07-07
KHC,7,"Longleaf Partners, Bill & Melinda Gates Foundation Trust, Berkshire Hathaway, Fairfax Financial Holdings, First Eagle Investment Management, Mairs & Power Growth Fund, Hillman Value Fund",340371836,10357520000.0,0.0,0,0.0,2025-07-07,2025-07-07
CP,7,"Maverick Capital, Pershing Square Capital Management, TCI Fund Management, Lindsell Train, Causeway Capital Management, Cantillon Capital Management, Egerton Capital",94720287,6648802000.0,0.0,0,0.0,2025-07-07,2025-07-07
FI,7,"Leon Cooperman, Giverny Capital, Torray Funds, Egerton Capital, Mairs & Power Growth Fund, Dodge & Cox, Olstein Capital Management",25357654,5599731000.0,0.0,0,0.0,2025-07-07,2025-07-07
LLY,7,"Lone Pine Capital, Tiger Global Management, Polen Capital Management, Torray Funds, Egerton Capital, Matrix Asset Advisors, Mairs & Power Growth Fund",4287443,3541042000.0,0.0,0,0.0,2025-07-07,2025-07-07
