ticker,total_activities,managers_holding,total_buy_impact,total_sell_impact,net_activity_score,avg_portfolio_impact,days_tracked,recent_activity_count,recent_net_activity,performance_category,period_start,period_end,top_3_managers
ABNB,7,4,0.0,0.0,0.0,1.4728571428571429,0,7,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Akre Capital Management; Miller Value Partners
KDP,3,2,0.0,0.0,0.0,1.9966666666666664,0,3,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Viking Global Investors
EFX,25,10,0.0,0.0,0.0,1.2248,0,25,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Weitz Large Cap Equity Fund; Valley Forge Capital Management
COP,31,7,0.0,0.0,0.0,1.3787096774193546,0,31,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Weitz Large Cap Equity Fund; Berkshire Hathaway
PSX,15,4,0.0,0.0,0.0,1.244,0,15,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Berkshire Hathaway; Torray Funds
MOH,6,3,0.0,0.0,0.0,5.031666666666667,0,6,0.0,Neutral,2025-07-07,2025-07-07,Scion Asset Management; Oakmark Select Fund; Viking Global Investors
PAYC,9,3,0.0,0.0,0.0,1.6766666666666667,0,9,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Polen Capital Management; ValueAct Capital
CBRE,42,7,0.0,0.0,0.0,1.630714285714286,0,42,0.0,Neutral,2025-07-07,2025-07-07,ValueAct Capital; Oakmark Select Fund; Third Avenue Management
ICE,29,7,0.0,0.0,0.0,1.6527586206896552,0,29,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Egerton Capital; AKO Capital
DE,18,7,0.0,0.0,0.0,2.496111111111111,0,18,0.0,Neutral,2025-07-07,2025-07-07,Greenhaven Associates; Oakmark Select Fund; Bill & Melinda Gates Foundation Trust
CNC,27,9,0.0,0.0,0.0,1.9307407407407406,0,27,0.0,Neutral,2025-07-07,2025-07-07,FPA Queens Road Small Cap Value Fund; Viking Global Investors; Appaloosa Management
CRM,86,17,0.0,0.0,0.0,2.7296511627906974,0,86,0.0,Neutral,2025-07-07,2025-07-07,Polen Capital Management; ValueAct Capital; Greenlea Lane Capital
FI,82,16,0.0,0.0,0.0,2.131707317073171,0,82,0.0,Neutral,2025-07-07,2025-07-07,ValueAct Capital; Longleaf Partners; Giverny Capital
IQV,21,7,0.0,0.0,0.0,2.0890476190476193,0,21,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Lone Pine Capital; Third Point
GOOGL,212,33,0.0,0.0,0.0,2.6614622641509436,0,212,0.0,Neutral,2025-07-07,2025-07-07,Conifer Management; Wedgewood Partners; Brave Warrior Advisors
COF,64,17,0.0,0.0,0.0,1.685,0,64,0.0,Neutral,2025-07-07,2025-07-07,CAS Investment Partners; Lone Pine Capital; Hancock Classic Value
CHTR,106,17,0.0,0.0,0.0,3.3246226415094338,0,106,0.0,Neutral,2025-07-07,2025-07-07,Triple Frond Partners; TCI Fund Management; Egerton Capital
LBRDK,37,6,0.0,0.0,0.0,2.272162162162162,0,37,0.0,Neutral,2025-07-07,2025-07-07,Makaira Partners; Triple Frond Partners; Weitz Large Cap Equity Fund
AXP,40,16,0.0,0.0,0.0,2.19925,0,40,0.0,Neutral,2025-07-07,2025-07-07,Egerton Capital; Weitz Large Cap Equity Fund; TCI Fund Management
KKR,87,14,0.0,0.0,0.0,1.9666666666666663,0,87,0.0,Neutral,2025-07-07,2025-07-07,ValueAct Capital; Greenlea Lane Capital; Ariel Focus Fund
WBD,57,10,0.0,0.0,0.0,2.9247368421052626,0,57,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Hillman Value Fund; Longleaf Partners
ALLY,24,6,0.0,0.0,0.0,3.6520833333333336,0,24,0.0,Neutral,2025-07-07,2025-07-07,Chou Associates; Punch Card Management; Oaktree Capital Management
